item_id,order_id,product_id,seller_id,freight_value,price
00125cb692d04887809806618a2a145f#1,00125cb692d04887809806618a2a145f,1c0c0093a48f13ba70d0c6b0a9157cb7,41b39e28db005d9731d9d485a83b4c38,25.51,109.90
001c85b5f68d2be0cb0797afc9e8ce9a#1,001c85b5f68d2be0cb0797afc9e8ce9a,84f456958365164420cfc80fbe4c7fab,4a3ca9315b744ce9f8e9374361493884,13.71,99.00
002f16b7bc4530031b7d90f791b12d8a#1,002f16b7bc4530031b7d90f791b12d8a,d54c5b81fc2b38707588dd4eddc7c594,0241d4d5d36f10f80c644447315af0bd,34.23,249.90
00345f338696283410b7977d2e3efc89#1,00345f338696283410b7977d2e3efc89,0f2fd0a589cb7849c1dbedbd4109c2f8,516e7738bd8f735ac19a010ee5450d8d,18.44,48.90
00471463a6106056c1a2a809f70de640#1,00471463a6106056c1a2a809f70de640,9df0e8a7eef2a38b74e6d5c0e224b11f,7c67e1448b00f6e969d365cea6b010ab,85.97,179.99
00571ded73b3c061925584feab0db425#1,00571ded73b3c061925584feab0db425,8695c431b31927efef5343e675f279e7,fe2032dab1a61af8794248c8196565c9,15.01,179.90
00571ded73b3c061925584feab0db425#2,00571ded73b3c061925584feab0db425,8695c431b31927efef5343e675f279e7,fe2032dab1a61af8794248c8196565c9,15.01,179.90
006dd93155bc2abd844cc5eed3a0fe7f#1,006dd93155bc2abd844cc5eed3a0fe7f,1ec486885049bbb9b79351d150ed18c4,cab85505710c7cb9b720bceb52b01cee,7.78,49.90
008fab5602c441d51f30b1464f5d4643#1,008fab5602c441d51f30b1464f5d4643,f23c48d81cd6a0c87f5c3b14aac68371,ebd2d60905fb58271facef5596b620d3,15.56,49.99
00946f674d880be1f188abc10ad7cf46#1,00946f674d880be1f188abc10ad7cf46,4dcb49b9ca7e48d2f108d40caa77caa2,5cf13accae3222c70a9cac40818ae839,18.57,99.90
00946f674d880be1f188abc10ad7cf46#2,00946f674d880be1f188abc10ad7cf46,9bb2d066e4b33b624cbdfec7d50b3dcb,5cf13accae3222c70a9cac40818ae839,14.35,99.90
00a0116ff15ff973ea16bee881208ae7#1,00a0116ff15ff973ea16bee881208ae7,d1c427060a0f73f6b889a5c7c61f2ac4,a1043bafd471dff536d0c462352beb48,45.12,149.00
00a174dbf11967d260033fa6ab711493#1,00a174dbf11967d260033fa6ab711493,fca62108387e25005784da2f551466a1,31344c16881c08a8a72c6d2eb29918c1,41.53,249.90
00a77f9cc25b05b2004752593d7b8888#1,00a77f9cc25b05b2004752593d7b8888,33bd5538a16d23f0a39da1c9bfd20980,94e93ce877be27a515118dbfd2c2be41,18.50,177.90
00ab1aba567dfebdc39caa4e7ca2f1b2#1,00ab1aba567dfebdc39caa4e7ca2f1b2,fcf64c72035fc6f17660bae96c933ffb,8444e55c1f13cd5c179851e5ca5ebd00,12.48,35.90
00bd2cb7e9076e1ccc9f766fc01a4cfd#1,00bd2cb7e9076e1ccc9f766fc01a4cfd,1427b126f61597524866770b05d4eed2,0b90b6df587eb83608a64ea8b390cf07,13.81,98.81
00bdcdda88e6b02977fc6ce3d412c600#1,00bdcdda88e6b02977fc6ce3d412c600,20566af10fda4783935b8cef249fa4c3,d921b68bf747894be13a97ae52b0f386,18.93,118.90
00f2c876aa08fbba04199823952e96c1#1,00f2c876aa08fbba04199823952e96c1,b18fa799c2e098abdceb194c359938f6,53e4c6e0f4312d4d2107a8c9cddf45cd,17.22,69.00
00f57f2ccce2a2e3f393fe8f5e616e0d#1,00f57f2ccce2a2e3f393fe8f5e616e0d,d6dc2dcbb3ef25e47ef82f3c013ab820,1025f0e2d44d7041d6cf58b6550e0bfa,60.81,225.00
011b142c9e082a5c1d10e0a88cd9c8e8#1,011b142c9e082a5c1d10e0a88cd9c8e8,4cb33e9787e8a38b82bd68e70f5f4700,17e34d8224d27a541263c4c64b11a56b,53.83,243.37
011e6e76dd0cd56d26b5b0cb036e80a8#1,011e6e76dd0cd56d26b5b0cb036e80a8,d33a74e1b6cfc152b6b3f43324d54987,9f505651f4a6abe901a56cdc21508025,8.29,14.99
0132451f29a10b66a5cf1bacc85f9afe#1,0132451f29a10b66a5cf1bacc85f9afe,42a2bd596fda1baef5719cb74f73030c,da8622b14eb17ae2831f4ac5b9dab84a,17.88,89.90
0132451f29a10b66a5cf1bacc85f9afe#2,0132451f29a10b66a5cf1bacc85f9afe,283dc451ad3918badb976d56ff887289,da8622b14eb17ae2831f4ac5b9dab84a,17.88,89.90
01380d0df5b7dc8bd13f2266a57bd42c#1,01380d0df5b7dc8bd13f2266a57bd42c,35557c68a22ecebcf066e25ca2ddc144,f8db351d8c4c4c22c6835c19a46f01b0,10.96,16.90
016fbc333d66b414be541c6159576c40#1,016fbc333d66b414be541c6159576c40,b0cd550945da1de6eb9cb69595d540df,6b243f80ed07b10f0e8aa0f21a205f3c,18.52,84.90
01835ef41c5ac66dd9ec6084fa1d0533#1,01835ef41c5ac66dd9ec6084fa1d0533,bbaef2eadf31fe3ea6702077398be06c,cc419e0650a3c5ba77189a1882b7556a,15.15,56.99
01855f880aae9a984c7c33b26fcf2e02#1,01855f880aae9a984c7c33b26fcf2e02,12bc892d6fff0dc42c8177f3665ef00e,e9779976487b77c6d4ac45f75ec7afe9,8.27,39.49
01855f880aae9a984c7c33b26fcf2e02#2,01855f880aae9a984c7c33b26fcf2e02,12bc892d6fff0dc42c8177f3665ef00e,e9779976487b77c6d4ac45f75ec7afe9,8.27,39.49
0197cb265e2c84b9f89dfd784095d2f6#1,0197cb265e2c84b9f89dfd784095d2f6,b8fb835549196ef18695839a1a749584,51702dc2a3e106c76dbff722b5bf0726,58.91,320.00
01a75ac3dd000b7628a684be97c29234#1,01a75ac3dd000b7628a684be97c29234,b5c114b11d53b6fd85a6a90790f0b479,0adac9fbd9a2b63cccaac4f8756c1ca8,15.10,42.90
0231382a78f19752dabca6a86b618152#1,0231382a78f19752dabca6a86b618152,4e0d01d5e5e4bd454e71e7cd1491c052,a416b6a846a11724393025641d4edd5e,9.53,76.49
02608b91ec6070ff5fcd4b63dd964232#1,02608b91ec6070ff5fcd4b63dd964232,aa280035c50ba62c746480a59045eec4,fa40cc5b934574b62717c68f3d678b6d,7.78,30.50
02610d88ac343ed64988d2706ce3ebfd#1,02610d88ac343ed64988d2706ce3ebfd,ce169d5f9421a6f21e41a7bf54d0b98e,8b321bb669392f5163d04c59e235e066,15.11,28.00
02645c905eb7d1591a679f9bc3b669fd#1,02645c905eb7d1591a679f9bc3b669fd,9f1c3e71d56894398a42b050b07f1baa,92eb0f42c21942b6552362b9b114707d,7.78,12.77
02671152ed141efc95384bdd230bc544#1,02671152ed141efc95384bdd230bc544,caa41bf17e27022341da028e79152c4c,f84a00e60c73a49e7e851c9bdca3a5bb,16.11,46.40
027b013d2186e25c2b82beb3679d0833#1,027b013d2186e25c2b82beb3679d0833,f921da19d229dad9bf3a94e86e7f7f32,04e38a233f726ef161074ab1c9b0399a,34.27,104.90
029e3b4c8e64bea4ba22e456cd1930a3#1,029e3b4c8e64bea4ba22e456cd1930a3,11dcc970f7a5581e1bf777b6da3f7096,06579cb253ecd5a3a12a9e6eb6bf8f47,17.74,69.90
02a0929986b1647b2df9bb303b4851b9#1,02a0929986b1647b2df9bb303b4851b9,2c7f01e4f39f8ca21caddb86374d7b4b,edf96ef93ed595084bbcbd9224bd2894,39.58,259.00
02acaa2a6f24e9c4e0bec7141b65f29b#1,02acaa2a6f24e9c4e0bec7141b65f29b,06c6e01186af8b98ee1fc9e01f9471e9,fc906263ca5083d09dce42fe02247800,14.10,29.90
02aec12849744e266394182861265286#1,02aec12849744e266394182861265286,8aa6223e400af9c97b07c75993142721,1f9ab4708f3056ede07124aad39a2554,35.74,174.90
