seller_id,seller_state,on_time_rate,delivered_lines
d1b65fc7debc3361ea86b5f14c68d2e2,SP,0.9487,39
e49c26c3edfa46d227d5121a6b6e4d37,PE,1.0000,34
1b938a7ec6ac5061a66a3766e0e75f90,SP,0.9655,29
768a86e36ad6aae3d03ee3c6433d61df,SP,0.8235,17
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,0.9239,184
8bd0f31cf0a614c658f6763bd02dea69,SP,0.9697,33
e38db885400cd35c71dfd162f2c1dbcf,DF,0.8667,30
d2e753bb80b7d4faa77483ed00edc8ca,BA,0.9286,14
2ff97219cb8622eaf3cd89b7d9c09824,SP,0.9425,87
2a1348e9addc1af5aaa619b1a3679d6b,MG,0.7292,48
116ccb1a1604bc88e4d234a8c23f33de,SP,0.9344,61
430315b7bb4b6e4b3c978f9dfa9b0558,SP,0.9474,19
406822777a0b9eb5c50e442dd4cd3ec5,SP,0.8636,44
e9e446d01bd10a97a8ffcfc4a3a20cb2,SP,1.0000,3
d9a84e1403de8da0c3aa531d6d108ba6,SP,0.9434,53
9c690ceacd5c66731bf443ea810195cb,MG,1.0000,10
1f9ab4708f3056ede07124aad39a2554,SP,0.9474,76
d3674f271c91f824f82d24d92011f669,DF,0.9000,20
8444e55c1f13cd5c179851e5ca5ebd00,MG,0.9348,92
28a26ebce31d5918b181ede016fd693b,MG,1.0000,1
41ab63a91b8b264e8c8780368bf1dd5b,MG,1.0000,12
0c7533c71df861ec58ad7ff999ed0e8d,SP,0.9508,61
ef990a83bbea832f36ebe81376335aa8,SC,0.7442,43
0747d5bb69f0586cc869d8af4c50f93e,RJ,0.9167,12
7d294cf9a6a69dc6a0c3e540fff0e039,SC,1.0000,5
02ecc2a19303f05e59ce133fd923fff7,SP,1.0000,21
c013e57c075a06e5b5c48ee03c525719,SP,0.9286,42
55f7a3319d80f7fdf078b8f03e6725fe,SP,0.9091,22
2d50d6282f8aa2257819a77bfaa0efe0,SP,0.8571,42
a416b6a846a11724393025641d4edd5e,SP,0.8726,157
7e93a43ef30c4f03f38b393420bc753a,SP,0.9436,319
ef506c96320abeedfb894c34db06f478,SP,0.9146,316
a13aaf2d2886ab9fb30fb9a920160b8f,SC,0.7500,4
7299e27ed73d2ad986de7f7c77d919fa,MG,0.9522,335
8a9260f2b0340411d6d2a56bcf4f7378,MG,0.8750,8
b2479f944e1b90cf8a5de1bbfde284d6,SP,0.8614,101
7722b1df1b0e383e000397b2c11e3e19,SP,0.9699,133
4e7c18b98d84e05cbae3ff0ff03846c2,SP,0.9506,81
b56906f7fd1696e043f1bcce164c487b,SP,0.9500,40
d650b663c3b5f6fb392b6326366efa9a,SP,0.9298,57
669ae81880e08f269a64487cfb287169,SC,0.9565,161
c2d70ce2c5d0a2eb75e78668236e6dc8,SP,1.0000,13
abe42c5d03695b4257b5c6cbf4e6784e,RJ,0.8367,49
1996942dc085d7773ba77a529b163cd0,SP,1.0000,9
63ffcb71394dd8ea3872ed9ffda17c74,RJ,0.9412,17
cda598c48d7c614bc1cad7d8ff6f0010,SP,1.0000,17
d4910f1cdcfdabd48d6b316e395d4a23,SP,0.9091,11
709e16e2b25c7474d980076c6bfc4806,SP,0.9667,60
276677b5d08786d5dce7c2149dcce48b,MG,0.9032,31
512d298ac2a96d1931b6bd30aa21f61d,RJ,1.0000,11
8bb48dc19fccaa8613b6229bf7f452a2,SP,0.9756,82
ad87df7699e83b8a91822a4a0b765c3a,SP,1.0000,5
62760d278921b5f352461620d68a9cee,SP,0.6667,3
1d4587203296c8f4ad134dc286fa6db0,SP,0.9500,40
0c8380b62e38e8a1e6adbeba7eb9688c,MG,0.9444,180
37be5a7c751166fbc5f8ccba4119e043,SP,0.9740,269
44073f8b7e41514de3b7815dd0237f4f,DF,0.9648,142
9d39404483343dd55c7ae254494d8388,SP,0.9000,10
75745ef7bc7d4f3ea3380f6f5303f514,DF,1.0000,3
7b07b3c7487f0ea825fc6df75abd658b,SP,0.9560,91
99002261c568a84cce14d43fcffb43ea,MT,0.9167,36
784ba75dd9d20200c4caed3d7a77141a,SP,0.8947,19
